lambda_human,generation,entropy
0.3,16,6.252264
0.3,17,6.221518
0.3,18,6.220249
0.3,19,6.224546
0.3,20,6.298496
0.3,21,6.246770
0.3,22,6.230456
0.3,23,6.226478
0.3,24,6.231592
0.3,25,6.206501
0.3,26,6.186200
0.3,27,6.191596
0.3,28,6.180649
0.3,29,6.194040
0.3,30,6.218837
0.3,31,6.299604
0.3,32,6.294632
0.3,33,6.270283
0.3,34,6.252987
0.3,35,6.197200
0.3,36,6.161017
0.3,37,6.183081
0.3,38,6.150536
0.3,39,6.151450
0.3,40,6.209987
0.3,41,6.225441
0.3,42,6.250122
0.3,43,6.267118
0.3,44,6.268153
0.3,45,6.255731
0.3,46,6.268403
0.3,47,6.278592
0.3,48,6.277064
0.3,49,6.233140
0.3,50,6.213604
0.3,51,6.194421
0.3,52,6.203454
0.3,53,6.215499
0.3,54,6.181943
0.3,55,6.224112
0.3,56,6.218166
0.3,57,6.241253
0.3,58,6.229157
0.3,59,6.212776
0.3,60,6.168397
0.3,61,6.198651
0.3,62,6.223167
0.3,63,6.203813
0.3,64,6.189434
0.3,65,6.229260
0.3,66,6.187823
0.3,67,6.152943
0.3,68,6.194379
0.3,69,6.212294
0.3,70,6.179659
0.3,71,6.201147
0.3,72,6.177783
0.3,73,6.187481
0.3,74,6.210090
0.3,75,6.252213
0.3,76,6.236258
0.3,77,6.235336
0.3,78,6.203876
0.3,79,6.172101
0.5,0,6.244656
0.5,1,6.247100
0.5,2,6.260900
0.5,3,6.286423
0.5,4,6.279201
0.5,5,6.297704
0.5,6,6.262235
0.5,7,6.301453
0.5,8,6.286191
0.5,9,6.273933
0.5,10,6.253507
0.5,11,6.270498
0.5,12,6.287296
0.5,13,6.265636
0.5,14,6.281861
0.5,15,6.302500
0.5,16,6.270628
0.5,17,6.252382
0.5,18,6.258793
0.5,19,6.262310
0.5,20,6.318483
0.5,21,6.266717
0.5,22,6.258833
0.5,23,6.262680
0.5,24,6.268097
0.5,25,6.248527
0.5,26,6.235341
0.5,27,6.245638
0.5,28,6.240418
0.5,29,6.252494
0.5,30,6.270449
0.5,31,6.329412
0.5,32,6.304344
0.5,33,6.284874
0.5,34,6.273374
0.5,35,6.234801
0.5,36,6.221868
0.5,37,6.246431
0.5,38,6.222748
0.5,39,6.227931
0.5,40,6.274599
0.5,41,6.278541
0.5,42,6.286754
0.5,43,6.292073
0.5,44,6.288192
0.5,45,6.278162
0.5,46,6.287179
0.5,47,6.290627
0.5,48,6.286192
0.5,49,6.257299
0.5,50,6.248025
0.5,51,6.238653
0.5,52,6.255741
0.5,53,6.261725
0.5,54,6.236944
0.5,55,6.273873
0.5,56,6.265394
0.5,57,6.281309
0.5,58,6.264626
0.5,59,6.254817
0.5,60,6.224843
0.5,61,6.255951
0.5,62,6.277302
0.5,63,6.254606
0.5,64,6.246363
0.5,65,6.277033
0.5,66,6.242983
0.5,67,6.220933
0.5,68,6.257621
0.5,69,6.266411
0.5,70,6.243123
0.5,71,6.261848
0.5,72,6.241518
0.5,73,6.249725
0.5,74,6.267941
0.5,75,6.293437
0.5,76,6.269265
0.5,77,6.269656
0.5,78,6.252238
0.5,79,6.231779
1.0,0,6.288681
1.0,1,6.288681
1.0,2,6.288681
1.0,3,6.288681
1.0,4,6.288681
1.0,5,6.288681
1.0,6,6.288681
1.0,7,6.288681
1.0,8,6.288681
1.0,9,6.288681
1.0,10,6.288681
1.0,11,6.288681
1.0,12,6.288681
1.0,13,6.288681
