p,generation,benevolent_fraction
0.3,77,0.769231
0.3,78,0.729927
0.3,79,0.769231
0.3,80,0.787402
0.3,81,0.787402
0.3,82,0.781250
0.3,83,0.800000
0.3,84,0.793651
0.3,85,0.781250
0.3,86,0.729927
0.3,87,0.763359
0.3,88,0.757576
0.3,89,0.787402
0.3,90,0.781250
0.3,91,0.800000
0.3,92,0.787402
0.3,93,0.800000
0.3,94,0.763359
0.3,95,0.757576
0.3,96,0.769231
0.3,97,0.729927
0.3,98,0.751880
0.3,99,0.757576
0.5,0,0.653595
0.5,1,0.662252
0.5,2,0.662252
0.5,3,0.680272
0.5,4,0.680272
0.5,5,0.662252
0.5,6,0.689655
0.5,7,0.625000
0.5,8,0.689655
0.5,9,0.653595
0.5,10,0.675676
0.5,11,0.662252
0.5,12,0.632911
0.5,13,0.675676
0.5,14,0.666667
0.5,15,0.645161
0.5,16,0.671141
0.5,17,0.680272
0.5,18,0.671141
0.5,19,0.666667
0.5,20,0.625000
0.5,21,0.666667
0.5,22,0.657895
0.5,23,0.628931
0.5,24,0.719424
0.5,25,0.675676
0.5,26,0.684932
0.5,27,0.689655
0.5,28,0.625000
0.5,29,0.680272
0.5,30,0.666667
0.5,31,0.657895
0.5,32,0.641026
0.5,33,0.662252
0.5,34,0.709220
0.5,35,0.694444
0.5,36,0.621118
0.5,37,0.709220
0.5,38,0.653595
0.5,39,0.625000
0.5,40,0.662252
0.5,41,0.689655
0.5,42,0.666667
0.5,43,0.684932
0.5,44,0.645161
0.5,45,0.657895
0.5,46,0.636943
0.5,47,0.636943
0.5,48,0.653595
0.5,49,0.641026
0.5,50,0.657895
0.5,51,0.671141
0.5,52,0.621118
0.5,53,0.662252
0.5,54,0.649351
0.5,55,0.666667
0.5,56,0.671141
0.5,57,0.719424
0.5,58,0.680272
0.5,59,0.666667
0.5,60,0.641026
0.5,61,0.636943
0.5,62,0.649351
0.5,63,0.680272
0.5,64,0.666667
0.5,65,0.675676
0.5,66,0.653595
0.5,67,0.671141
0.5,68,0.653595
0.5,69,0.729927
0.5,70,0.653595
0.5,71,0.684932
0.5,72,0.694444
0.5,73,0.628931
0.5,74,0.671141
0.5,75,0.675676
0.5,76,0.689655
0.5,77,0.657895
0.5,78,0.657895
0.5,79,0.694444
0.5,80,0.680272
0.5,81,0.689655
0.5,82,0.653595
0.5,83,0.675676
0.5,84,0.719424
0.5,85,0.689655
0.5,86,0.641026
0.5,87,0.662252
0.5,88,0.680272
0.5,89,0.657895
0.5,90,0.662252
0.5,91,0.641026
0.5,92,0.666667
0.5,93,0.704225
0.5,94,0.694444
0.5,95,0.694444
0.5,96,0.675676
0.5,97,0.666667
0.5,98,0.671141
0.5,99,0.645161
0.9,0,0.512821
0.9,1,0.529101
0.9,2,0.526316
0.9,3,0.526316
0.9,4,0.523560
0.9,5,0.526316
0.9,6,0.531915
0.9,7,0.520833
0.9,8,0.523560
0.9,9,0.537634
0.9,10,0.531915
0.9,11,0.520833
0.9,12,0.520833
0.9,13,0.534759
0.9,14,0.540541
0.9,15,0.520833
0.9,16,0.529101
0.9,17,0.529101
0.9,18,0.531915
0.9,19,0.534759
0.9,20,0.529101
0.9,21,0.526316
0.9,22,0.526316
0.9,23,0.518135
0.9,24,0.523560
0.9,25,0.537634
0.9,26,0.518135
0.9,27,0.518135
0.9,28,0.526316
0.9,29,0.531915
0.9,30,0.526316
0.9,31,0.534759
0.9,32,0.523560
0.9,33,0.529101
0.9,34,0.523560
0.9,35,0.529101
0.9,36,0.512821
0.9,37,0.537634
0.9,38,0.529101
